MEN_DESK_FILE_DUMP_STUDY	スクリプトを保存
GEOM_SCALE_FACTOR	最終倍率
MEN_REVOLUTION	回転体
GEOM_REVOLURION_TITLE	回転体の作成
GEOM_REVERSE	反転
GEOM_BOTHWAY	両方向
MEN_PIPE	経路に沿って押し出し
GEOM_PIPE_TITLE	パイプの作成
MEN_EXPLODE	分解
GEOM_SUBSHAPE_TITLE	分解
GEOM_START_POINT	始点
GEOM_FACE_TITLE	フェースの作成
MEN_COMPOUND	コンパウンド
GEOM_COMPOUND_TITLE	コンパウンドの作成
GEOM_FUSE_TITLE	2つのオブジェクトの結合
GEOM_COMMON_TITLE	交差部分を取り出す
GEOM_CUT_TITLE	オブジェクトの切断
MEN_TRANSLATION	移動
GEOM_REVERSE	反転
GEOM_END_LCS	終わりの局所座標
GEOM_START_LCS	始まりの局所座標
MEN_MIRROR	オブジェクトの反転
GEOM_MIRROR_TITLE	オブジェクトを反転
GEOM_POINT	基準点
GEOM_AXE_I	基軸
GEOM_PLAN	基準面
GEOM_SCALE_FACTOR_X	倍率　X
GEOM_SCALE_FACTOR_Y	倍率　Y
GEOM_SCALE_FACTOR_Z	倍率　Z
GEOM_SOURCE_OBJECT	基になるポイント、エッジ、またはワイヤー
GEOM_TARGET_OBJECT	目的面
GEOM_STEP_U	間隔 U
GEOM_NB_TIMES_U	回数 U
GEOM_STEP_V	間隔 V
GEOM_NB_TIMES_V	回数 V
GEOM_NB_TIMES	回数
GEOM_REVERSE	反転
GEOM_NB_TIMES	回数
GEOM_NB_TIMES	回数
GEOM_NB_TIMES_U	回数 U
GEOM_NB_TIMES_V	回数 V
GEOM_BLACK_EXPLODE_TITLE	サブブロックの選択
GEOM_PARTITION_TITLE	ツールオブジェクトで分割
GEOM_TOOL_OBJECTS	ツールオブジェクト
MEN_ARCHIMEDE	アルキメデス法
MEN_EXTRUDED_BOSS	押出し
GEOM_DRAFT_ANGLE	抜け勾配
MEN_EXTRUDED_CUT	押込み
Y	Y
GEOM_CMASS_TITLE	重心の作成
MEN_BUILD_COMPOUND	コンパウンドの作成
PROCESSINGIDENTICALGROUPS	同じグループの処理
UNITE	一体にする
SMESH_SELECT_WHOLE_MESH	全体のメッシュ、サブメッシュまたはグループを選択
SMESH_MESHINFO_QUADRANGLES	四角形
SMESH_NO_CONCURENT	並列のサブメッシュが検出されません
ALLOW_ELEM_LIST_MODIF	手動で選択する
SMESH_GROUP_GEOMETRY	ジオメトリ上のグループ
FACES_TLT	フェイスのフィルター
ASPECT_RATIO	アスペクト比
LESS_THAN	未満
MORE_THAN	超える
MEN_CONSTRUCT_GROUP	サブメッシュからグループを作成
CAPTION	ポイントからエレメントを探す
Y	Y
SMESH_PLUGINS_OTHER	
ASPECTRATION_ELEMENTS	アスペクト比
REVOLUTION_AROUND_AXIS	軸まわりの回転
MEN_MAP	パターンマッピング
MEN_CONV_TO_QUAD	二次メッシュの作成
MEN_SCALAR_MAP	スカラーマップ
DLG_PROP_TITLE	スカラーマップのプロパティ
MEN_CUT_PLANES	平面切断
LBL_ROT_Y	Y軸周りの回転
LBL_ROT_Z	Z軸周りの回転
LBL_NB_PLANS	面の数
DLG_TITLE	変形
MAGNITUDE_COLORING	大小を色分け
DLG_TITLE	変形
MAGNITUDE_COLORING	大小を色分け
TAIL_BTN	末尾
HEAD_BTN	先端
LBL_ROT_X	X軸周りの回転
LBL_ROT_Y	Y軸周りの回転
LBL_LINES_CUT	平面で切断
MEN_CUT_SEGMENT	線分で切断
LBL_CUT_SEGMENT	線分で切断
MEN_STREAM_LINES	流線
DGL_TITLE	流線
MAGNITUDE_COLORING	大小を色分け
MEN_PLOT_3D	プロット３D
MENDEFORMED_SHAPE_AND_SCALAR_MAP	変形とスカラーマップ
DGL_TITLE	変形とスカラーマップ
MEN_ELASE_ALL	すべてを非表示
MEN_TRANSLATE_PRS	結果の移動
TIT_OFFSETDLG	結果の移動
MNU_SHOW_TRIHEDRE	軸の表示/非表示
MNU_PAN_VIEW	パンニング
MNU_GLOBALPAN_VIEW	グローバルパンニング
MNU_ANTICLOCKWISE_VIEW	左回転
MNU_CLOCKWISE_VIEW	右回転
MEN_RESET_VIEW	リセット
MNU_SHOOT_VIEW	ビューの保存
MNU_PRESETS_VIEW	ビューの読み込み
CAPTION	ビューの読み込み
MNU_CLONE_VIEW	ビューの複製
MNU_CLIPPING	断面
DLG_SCALING	スケールの変更
MNU_GRADUATED_AXES	軸に目盛り付け
CAPTION	軸に目盛り付け
MNU_MINIMIZE_VIEW	最小化する
WORLD_COORDINATES	絶対座標
MNU_SVTK_PERSPECTIVE_MODE	遠近法
